Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Blognation,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,05/31/24,Custom solution,Churned Customer,7,,,206,80,10/10/24,06/17/24
Dablist,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),Kevin Anderson,01/11/24,SAAS,Churned Customer,7,,,956,100,04/26/24,03/07/24
Meedoo,Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Michael Brown,04/09/24,SAAS,Churned Customer,7,,,668,40,09/05/24,04/27/24
Runte Group,Austria,48.210033,16.363449,Retail & Distribution,Micro (1-10),Kevin Anderson,05/08/24,Services,Churned Customer,7,,,721,30,02/22/25,07/20/24
VonRueden Inc,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,03/03/24,Services,Churned Customer,7,,,320,20,10/21/24,03/23/24
Treutel-Willms,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),David Wilson,05/17/24,Custom solution,Churned Customer,7,,,1074,90,12/21/24,08/15/24
"Medhurst, Weber and Waters",Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),John Smith,02/15/24,SAAS,Churned Customer,7,,,480,70,02/07/25,05/13/24
Hansen LLC,Spain,40.416775,-3.70379,Professional Services  & Consulting,Micro (1-10),Laura Thompson,01/05/24,Services,Churned Customer,7,,,392,20,01/26/24,03/13/24
Bechtelar-Heidenreich,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Michael Brown,03/25/24,Services,Churned Customer,7,,,846,40,08/27/24,06/02/24
"Rosenbaum, Breitenberg and Langworth",Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Emily Johnson,04/30/24,SAAS,Churned Customer,7,,,968,50,01/24/25,08/03/24
Kunde Group,Spain,40.416775,-3.70379,Agriculture & Mining,Micro (1-10),Laura Thompson,01/04/24,Services,Churned Customer,7,,,1068,40,11/12/24,03/18/24
Abernathy and Sons,France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),Laura Thompson,03/27/24,Services,Churned Customer,7,,,617,30,12/02/24,04/01/24
"Erdman, Wilkinson and Stracke",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,01/04/24,Services,Churned Customer,7,,,888,30,05/08/24,02/04/24
"Bogisich, Denesik and Crona",Spain,40.416775,-3.70379,IT & IT Services,Micro (1-10),Michael Brown,04/15/24,Custom solution,Churned Customer,7,,,364,30,05/29/24,08/12/24
Davis-Schuppe,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Jessica Martinez,04/15/24,Services,Churned Customer,7,,,856,60,09/29/24,07/11/24
Huel-Dooley,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Sarah Davis,02/10/24,SAAS,Churned Customer,7,,,555,40,07/27/24,03/18/24
Bergstrom LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Jessica Martinez,04/04/24,Services,Churned Customer,7,,,1035,70,08/20/24,07/25/24
"Considine, Collins and Hudson",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Micro (1-10),Jessica Martinez,02/25/24,SAAS,Churned Customer,7,,,566,30,12/09/24,06/01/24
Kunde-Lindgren,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Jessica Martinez,01/18/24,Services,Churned Customer,7,,,722,90,11/04/24,05/03/24
Crooks Group,France,48.864716,2.349014,Telecommunications,Micro (1-10),Laura Thompson,01/16/24,Services,Churned Customer,7,,,1000,80,04/15/24,02/03/24
O'Conner Group,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Michael Brown,02/18/24,Custom solution,Churned Customer,7,,,898,60,03/27/24,04/13/24
Bogan-Goyette,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Laura Thompson,05/23/24,Services,Churned Customer,7,,,786,30,12/03/24,09/10/24
"Hilll, Runolfsdottir and Barrows",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Emily Johnson,02/23/24,SAAS,Churned Customer,7,,,843,40,06/29/24,06/16/24
"Lubowitz, McClure and Hettinger",Spain,40.416775,-3.70379,IT & IT Services,Micro (1-10),Kevin Anderson,05/01/24,SAAS,Churned Customer,7,,,608,20,03/16/25,08/20/24
Herman LLC,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Laura Thompson,01/05/24,Services,Churned Customer,7,,,285,20,07/16/24,01/22/24
Bednar-Schuppe,Portugal,38.736946,-9.142685,Retail & Distribution,Micro (1-10),Jessica Martinez,03/15/24,Custom solution,Churned Customer,7,,,950,20,12/25/24,07/06/24
Reynolds-Olson,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Jessica Martinez,04/06/24,SAAS,Churned Customer,7,,,1095,40,09/20/24,04/06/24
"Jacobi, Johnson and Harris",France,48.864716,2.349014,Government Administration Healthcare,Micro (1-10),Laura Thompson,05/21/24,Services,Churned Customer,7,,,668,90,08/20/24,08/07/24
Beatty Group,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,01/26/24,Services,Churned Customer,7,,,993,50,09/29/24,02/14/24
"Hettinger, Kuhic and Dooley",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),John Smith,02/07/24,SAAS,Churned Customer,7,,,670,50,04/09/24,04/01/24
O'Kon-Fay,France,48.864716,2.349014,Banking and Finance,Micro (1-10),Jessica Martinez,02/13/24,SAAS,Churned Customer,7,,,442,20,09/08/24,05/24/24
Leuschke LLC,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,01/31/24,Custom solution,Churned Customer,7,,,375,70,07/16/24,03/13/24
"Dooley, Stracke and Wiegand",Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Kevin Anderson,02/28/24,SAAS,Churned Customer,7,,,258,40,01/12/25,04/19/24
Heathcote-Ryan,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Michael Brown,04/26/24,SAAS,Churned Customer,7,,,663,40,02/17/25,05/29/24
"Leuschke, Mohr and Rolfson",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),John Smith,03/11/24,Services,Churned Customer,7,,,1039,70,12/13/24,06/14/24
Reinger and Sons,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Jessica Martinez,01/13/24,SAAS,Churned Customer,7,,,991,40,04/30/24,03/26/24
Klocko Group,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Jessica Martinez,01/06/24,SAAS,Churned Customer,7,,,820,20,10/24/24,02/09/24
"Koch, Kerluke and Kuphal",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Laura Thompson,02/20/24,SAAS,Churned Customer,7,,,884,100,01/10/25,04/03/24
Wolf Inc,Netherlands,52.370216,4.895168,Energy & Utilities,Micro (1-10),Sarah Davis,02/22/24,Custom solution,Churned Customer,7,,,1057,60,02/07/25,06/14/24
Hoeger-Jakubowski,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Jessica Martinez,05/30/24,Services,Churned Customer,7,,,654,20,11/02/24,08/23/24
Ziemann LLC,Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),Jessica Martinez,01/17/24,SAAS,Churned Customer,7,,,913,50,03/13/24,02/19/24
Flashspan,Spain,40.416775,-3.70379,Telecommunications,Medium (201-500),John Smith,04/25/24,SAAS,Churned Customer,7,,,5555,50,02/28/25,04/30/24
Wordpedia,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,04/21/24,Custom solution,Churned Customer,7,,,5916,10,10/13/24,06/09/24
Quaxo,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,02/26/24,Services,Churned Customer,7,,,1352,20,06/16/24,04/25/24
Skivee,Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Jessica Martinez,05/04/24,Custom solution,Churned Customer,7,,,7313,90,05/31/24,08/21/24
BlogXS,Spain,40.416775,-3.70379,Construction & Engineering,Medium (201-500),Jessica Martinez,05/13/24,Custom solution,Churned Customer,7,,,481,50,06/07/24,06/21/24
Buzzster,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,02/23/24,Services,Churned Customer,7,,,5122,20,07/31/24,03/23/24
Wyman-Goodwin,Austria,48.210033,16.363449,Education & Science,Medium (201-500),Laura Thompson,02/01/24,SAAS,Churned Customer,7,,,7898,30,09/05/24,03/02/24
Cruickshank-Weimann,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,03/18/24,Custom solution,Churned Customer,7,,,5718,30,08/03/24,06/08/24
Schaden-Bode,Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),David Wilson,02/10/24,Services,Churned Customer,7,,,2849,90,09/15/24,02/16/24
Walker LLC,Spain,40.416775,-3.70379,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,01/12/24,Services,Churned Customer,7,,,3612,40,07/24/24,04/02/24
"Tremblay, Lebsack and Gerhold",Spain,40.416775,-3.70379,Transportation & Logistics,Medium (201-500),Jessica Martinez,04/05/24,SAAS,Churned Customer,7,,,1333,20,06/28/24,06/01/24
O'Reilly-Ferry,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),John Smith,01/18/24,Services,Churned Customer,7,,,2367,20,01/07/25,05/12/24
Bartoletti-Aufderhar,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),David Wilson,04/07/24,Services,Churned Customer,7,,,3651,40,07/28/24,04/12/24
Kiehn-Kshlerin,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,02/23/24,SAAS,Churned Customer,7,,,1647,10,01/01/25,05/24/24
Haley Group,Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),John Smith,02/18/24,SAAS,Churned Customer,7,,,3098,40,11/12/24,03/01/24
"Hegmann, Larkin and Bednar",France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Kevin Anderson,02/15/24,Services,Churned Customer,7,,,7604,40,11/14/24,03/02/24
"Lynch, Kihn and Bartell",Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Kevin Anderson,03/03/24,Services,Churned Customer,7,,,3858,50,06/20/24,04/01/24
"Schinner, Bogisich and Batz",Austria,48.210033,16.363449,Education & Science,Medium (201-500),Emily Johnson,01/12/24,SAAS,Churned Customer,7,,,785,70,07/17/24,04/14/24
Grimes and Sons,Spain,40.416775,-3.70379,Government Administration Healthcare,Medium (201-500),Jessica Martinez,01/20/24,SAAS,Churned Customer,7,,,4410,40,06/10/24,03/07/24
"VonRueden, Gerlach and Schiller",France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Laura Thompson,04/10/24,Services,Churned Customer,7,,,3455,100,12/11/24,06/11/24
"Heller, Effertz and Tromp",Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Laura Thompson,02/14/24,SAAS,Churned Customer,7,,,7486,40,12/22/24,05/11/24
Emard-Lind,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Michael Brown,03/03/24,Services,Churned Customer,7,,,4521,90,12/12/24,03/06/24
O'Hara-Wyman,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),David Wilson,05/30/24,SAAS,Churned Customer,7,,,1641,20,07/09/24,09/06/24
Tillman-Greenholt,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Michael Brown,01/02/24,SAAS,Churned Customer,7,,,3545,40,07/13/24,04/27/24
Powlowski LLC,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,05/18/24,SAAS,Churned Customer,7,,,5862,60,09/27/24,07/06/24
O'Reilly-Stanton,Netherlands,52.370216,4.895168,IT & IT Services,Medium (201-500),Kevin Anderson,03/17/24,Services,Churned Customer,7,,,6124,20,06/28/24,07/05/24
O'Reilly-Bruen,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,02/05/24,Services,Churned Customer,7,,,2002,30,12/23/24,03/20/24
Kirlin and Sons,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Jessica Martinez,01/02/24,Services,Churned Customer,7,,,3182,20,05/05/24,03/03/24
MacGyver LLC,Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Jessica Martinez,02/04/24,SAAS,Churned Customer,7,,,7019,30,03/02/24,05/12/24
Lemke-Crooks,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,04/17/24,SAAS,Churned Customer,7,,,2816,70,08/04/24,05/18/24
"Hirthe, Grady and Cummings",Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Emily Johnson,05/24/24,SAAS,Churned Customer,7,,,734,40,08/04/24,08/27/24
Crooks-Wiza,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,03/23/24,SAAS,Churned Customer,7,,,7204,20,11/22/24,06/24/24
"Ortiz, Bashirian and Pfannerstill",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,04/01/24,SAAS,Churned Customer,7,,,2921,60,02/13/25,06/02/24
"Orn, Blanda and Oberbrunner",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Emily Johnson,03/09/24,Services,Churned Customer,7,,,2653,50,01/31/25,05/30/24
Boyle Inc,France,48.864716,2.349014,Telecommunications,Medium (201-500),Sarah Davis,05/29/24,Custom solution,Churned Customer,7,,,4849,30,07/20/24,07/23/24
"Rodriguez, Little and Jast",Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,03/28/24,Custom solution,Churned Customer,7,,,1092,40,01/02/25,07/13/24
Bosco LLC,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,05/10/24,Custom solution,Churned Customer,7,,,5902,50,04/29/25,07/27/24
Bergnaum LLC,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,05/04/24,Custom solution,Churned Customer,7,,,625,40,10/04/24,08/03/24
"Corkery, Block and Frami",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,02/01/24,Services,Churned Customer,7,,,7655,60,03/31/24,04/27/24
"Auer, Bogisich and Kovacek",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,04/14/24,Custom solution,Churned Customer,7,,,7270,30,10/03/24,07/26/24
Jones and Sons,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Emily Johnson,01/12/24,Custom solution,Churned Customer,7,,,6482,90,01/03/25,03/24/24
"Wilderman, Bayer and Hickle",Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Laura Thompson,01/10/24,Services,Churned Customer,7,,,3196,30,05/21/24,03/21/24
"Rutherford, Lueilwitz and Frami",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Michael Brown,02/01/24,Services,Churned Customer,7,,,5812,90,12/25/24,03/28/24
Lang LLC,Spain,40.416775,-3.70379,Transportation & Logistics,Medium (201-500),John Smith,01/20/24,SAAS,Churned Customer,7,,,2015,100,01/02/25,02/05/24
Auer Group,Spain,40.416775,-3.70379,Agriculture & Mining,Medium (201-500),Laura Thompson,01/12/24,Services,Churned Customer,7,,,3580,30,05/29/24,02/24/24
"Hilll, Jacobi and Cormier",Austria,48.210033,16.363449,Government Administration Healthcare,Medium (201-500),John Smith,03/01/24,SAAS,Churned Customer,7,,,1985,60,01/26/25,06/01/24
Reinger LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Kevin Anderson,02/17/24,Services,Churned Customer,7,,,7799,60,06/21/24,02/25/24
"Heaney, Hickle and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Jessica Martinez,05/01/24,Services,Churned Customer,7,,,1142,50,12/05/24,07/17/24
Hudson-Morar,Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Laura Thompson,03/17/24,Services,Churned Customer,7,,,5858,40,05/19/24,05/02/24
Heller-Hartmann,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),Sarah Davis,02/10/24,SAAS,Churned Customer,7,,,2557,50,05/24/24,02/24/24
Torphy-Pouros,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),John Smith,02/08/24,Services,Churned Customer,7,,,3207,60,10/18/24,06/07/24
Zulauf-Gutkowski,Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),Michael Brown,05/10/24,SAAS,Churned Customer,7,,,797,70,11/30/24,08/02/24
"Kunde, O'Keefe and Skiles",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Michael Brown,01/03/24,Services,Churned Customer,7,,,6018,40,07/08/24,04/01/24
Raynor Group,Netherlands,52.370216,4.895168,Banking and Finance,Medium (201-500),Laura Thompson,02/25/24,Custom solution,Churned Customer,7,,,3011,90,09/02/24,05/31/24
Konopelski Group,Portugal,38.736946,-9.142685,Telecommunications,Medium (201-500),Laura Thompson,01/31/24,Services,Churned Customer,7,,,655,80,05/23/24,02/12/24
"Johnson, Sporer and Kertzmann",Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),Emily Johnson,02/07/24,Custom solution,Churned Customer,7,,,2589,60,12/19/24,04/15/24
"Predovic, Ryan and Wisoky",Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Laura Thompson,05/11/24,SAAS,Churned Customer,7,,,2378,50,09/17/24,09/03/24
Bernhard-Padberg,Portugal,38.736946,-9.142685,Energy & Utilities,Medium (201-500),Laura Thompson,03/29/24,SAAS,Churned Customer,7,,,4592,40,12/25/24,07/09/24
"Kemmer, Crona and Dietrich",Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Emily Johnson,03/09/24,SAAS,Churned Customer,7,,,7969,30,06/15/24,07/06/24
Bruen and Sons,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Michael Brown,04/28/24,SAAS,Churned Customer,7,,,1295,40,12/24/24,08/22/24
"Hickle, Rutherford and Ritchie",Netherlands,52.370216,4.895168,Agriculture & Mining,Medium (201-500),Laura Thompson,02/13/24,Custom solution,Churned Customer,7,,,3184,100,06/21/24,02/15/24
